Date,Open,High,Low,Close,Adj Close,Volume
2023-03-09,67.510002,67.669998,66.080002,66.180000,65.492867,1739500
2023-03-10,65.230003,65.879997,64.010002,64.419998,63.751137,2433100
2023-03-13,63.220001,64.290001,62.730000,63.669998,63.008923,2261200
2023-03-14,64.349998,65.019997,64.029999,64.370003,63.701660,1472100
2023-03-15,61.930000,62.349998,61.049999,62.310001,61.663048,2770300
2023-03-16,62.189999,64.160004,62.189999,63.889999,63.226639,1404500
2023-03-17,63.680000,63.860001,62.910000,63.150002,62.494328,1184100
2023-03-20,63.049999,64.250000,63.049999,63.740002,63.078201,1647200
2023-03-21,64.910004,65.440002,64.510002,64.589996,63.919369,2088000
2023-03-22,64.690002,64.910004,62.740002,62.810001,62.157856,2107400
2023-03-23,63.220001,64.529999,63.090000,63.419998,62.761520,1711000
2023-03-24,63.020000,63.410000,62.500000,63.389999,62.731831,1132800
2023-03-27,63.490002,64.699997,63.230000,64.379997,63.711552,1174900
2023-03-28,64.930000,65.239998,64.809998,64.860001,64.186569,1215700
2023-03-29,65.449997,66.220001,65.279999,66.059998,65.374107,1086900
2023-03-30,66.330002,66.449997,66.040001,66.080002,65.393906,950700
2023-03-31,66.610001,67.080002,66.250000,66.669998,65.977776,1184400
2023-04-03,66.599998,67.080002,66.080002,66.760002,66.066841,1253600
2023-04-04,67.010002,67.309998,66.440002,66.959999,66.264763,713700
2023-04-05,67.690002,68.290001,67.300003,67.949997,67.244484,1168400
2023-04-06,68.279999,68.690002,67.910004,68.489998,67.778877,840400
2023-04-10,67.769997,68.050003,67.500000,67.669998,66.967392,497400
2023-04-11,68.430000,68.610001,68.089996,68.599998,67.887733,839000
2023-04-12,69.639999,70.519997,69.430000,69.760002,69.035698,1227200
2023-04-13,70.220001,70.220001,68.279999,69.459999,68.738808,1121800
2023-04-14,69.400002,70.470001,69.389999,70.430000,69.698738,1778800
2023-04-17,68.739998,69.190002,68.059998,68.680000,67.966904,1688700
2023-04-18,68.910004,69.160004,68.449997,68.930000,68.214310,2881700
2023-04-19,69.339996,70.180000,68.790001,69.959999,69.233620,1691400
2023-04-20,69.919998,70.120003,69.650002,69.839996,69.114861,842300
2023-04-21,70.199997,71.300003,70.190002,70.889999,70.153961,1565100
2023-04-24,70.889999,71.190002,70.190002,70.519997,69.787796,1182700
2023-04-25,70.000000,70.019997,69.320000,69.570000,68.847664,1495200
2023-04-26,70.320000,70.720001,69.500000,69.660004,68.936737,1800900
2023-04-27,69.660004,69.779999,69.070000,69.599998,68.877350,1374600
2023-04-28,69.330002,69.809998,69.010002,69.800003,69.075279,1189800
2023-05-01,69.510002,70.620003,69.510002,69.910004,69.184143,551200
2023-05-02,69.949997,70.050003,69.190002,69.550003,68.827881,832100
2023-05-03,69.879997,70.430000,69.449997,69.500000,68.778397,954200
2023-05-04,70.489998,71.010002,68.160004,68.519997,67.808563,5036300
2023-05-05,66.989998,67.160004,65.720001,67.019997,66.324142,3550500
2023-05-08,67.959999,68.290001,67.099998,67.120003,66.423103,2133500
2023-05-09,66.500000,66.830002,65.739998,65.989998,65.304832,2730100
2023-05-10,67.160004,68.900002,66.790001,68.330002,67.620544,2816100
2023-05-11,67.790001,68.320000,67.089996,67.129997,66.432999,2160900
2023-05-12,67.629997,68.120003,67.489998,67.949997,67.949997,1532300
2023-05-15,67.800003,68.480003,67.769997,68.099998,68.099998,1103900
2023-05-16,67.320000,67.800003,66.970001,67.000000,67.000000,940200
2023-05-17,67.320000,67.660004,66.860001,66.900002,66.900002,2918600
2023-05-18,67.190002,67.190002,66.500000,66.669998,66.669998,1530600
2023-05-19,66.800003,66.980003,66.449997,66.489998,66.489998,980600
2023-05-22,66.440002,66.900002,66.300003,66.559998,66.559998,874500
2023-05-23,66.250000,66.519997,64.730003,65.339996,65.339996,3925200
2023-05-24,64.750000,65.300003,64.730003,64.980003,64.980003,1422800
2023-05-25,65.080002,65.180000,64.309998,64.379997,64.379997,2122900
2023-05-26,64.589996,65.209999,64.589996,64.809998,64.809998,1011500
2023-05-30,65.070000,65.559998,64.639999,64.800003,64.800003,1726800
2023-05-31,64.010002,64.510002,63.770000,64.400002,64.400002,3224800
2023-06-01,64.540001,64.919998,64.410004,64.760002,64.760002,2194200
2023-06-02,65.000000,65.660004,64.800003,65.480003,65.480003,1427500
2023-06-05,65.169998,65.989998,65.150002,65.190002,65.190002,1079100
2023-06-06,64.820000,64.989998,64.239998,64.379997,64.379997,1214900
2023-06-07,64.849998,65.529999,64.610001,64.900002,64.900002,1090300
2023-06-08,65.199997,65.339996,64.639999,64.680000,64.680000,794900
2023-06-09,64.730003,65.650002,64.610001,65.650002,65.650002,919400
2023-06-12,64.790001,65.150002,63.939999,63.939999,63.939999,2026000
2023-06-13,64.820000,65.510002,64.730003,64.910004,64.910004,1441800
2023-06-14,64.989998,64.989998,64.050003,64.360001,64.360001,1668400
2023-06-15,63.490002,64.629997,62.869999,64.599998,64.599998,1698700
2023-06-16,65.160004,66.480003,64.989998,66.449997,66.449997,2832100
2023-06-20,66.389999,66.430000,65.610001,66.199997,66.199997,3359400
2023-06-21,66.790001,68.110001,66.540001,67.830002,67.830002,2575800
2023-06-22,68.139999,68.699997,67.919998,68.379997,68.379997,1100700
